MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:103063,Stat1,signal transducer and activator of transcription 1,1,,tumor necrosis factor-mediated signaling pathway,,,ISO,P42224 ,J:164563 
MGI:99515,Syk,spleen tyrosine kinase,13,,regulation of tumor necrosis factor-mediated signaling pathway,,,ISO,P43405 ,J:164563 
MGI:1341872,Tjp2,tight junction protein 2,19,,TNFSF11-mediated signaling pathway,,,IMP,,J:196719 
MGI:104798,Tnf,tumor necrosis factor,17,,tumor necrosis factor-mediated signaling pathway,,,IBA,PTN001352146 ,J:265628 
MGI:104798,Tnf,tumor necrosis factor,17,,tumor necrosis factor-mediated signaling pathway,,,IDA,,J:15363 
MGI:104798,Tnf,tumor necrosis factor,17,,tumor necrosis factor-mediated signaling pathway,,,ISO,P01375 ,J:164563 
MGI:1314884,Tnfrsf1a,"tumor necrosis factor receptor superfamily, member 1a",6,,regulation of tumor necrosis factor-mediated signaling pathway,,,IGI,MGI:1916971 MGI:1919216 ,J:277582 
MGI:1314884,Tnfrsf1a,"tumor necrosis factor receptor superfamily, member 1a",6,,tumor necrosis factor-mediated signaling pathway,,,ISO,RGD:621237 ,J:155856 
MGI:1314884,Tnfrsf1a,"tumor necrosis factor receptor superfamily, member 1a",6,,tumor necrosis factor-mediated signaling pathway,,,ISO,P19438 ,J:164563 
MGI:1314891,Tnfrsf11a,"tumor necrosis factor receptor superfamily, member 11a, NFKB activator",1,,positive regulation of ERK1 and ERK2 cascade via TNFSF11-mediated signaling,,,ISO,Q9Y6Q6 ,J:164563 
MGI:1314891,Tnfrsf11a,"tumor necrosis factor receptor superfamily, member 11a, NFKB activator",1,,TNFSF11-mediated signaling pathway,,,IBA,PTN002932239 ,J:265628 
MGI:1314891,Tnfrsf11a,"tumor necrosis factor receptor superfamily, member 11a, NFKB activator",1,,TNFSF11-mediated signaling pathway,,,ISO,Q9Y6Q6 ,J:164563 
MGI:1314891,Tnfrsf11a,"tumor necrosis factor receptor superfamily, member 11a, NFKB activator",1,,tumor necrosis factor-mediated signaling pathway,,,IMP,,J:155398 
MGI:1919299,Tnfrsf13c,"tumor necrosis factor receptor superfamily, member 13c",15,,tumor necrosis factor-mediated signaling pathway,,,IEA,IPR022338 IPR043521 ,J:72247 
MGI:1343050,Tnfrsf17,"tumor necrosis factor receptor superfamily, member 17",16,,tumor necrosis factor-mediated signaling pathway,,,IEA,IPR022320 IPR043521 ,J:72247 
MGI:1100089,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11",14,,positive regulation of ERK1 and ERK2 cascade via TNFSF11-mediated signaling,,,ISO,O14788 ,J:164563 
MGI:1100089,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11",14,,TNFSF11-mediated signaling pathway,,,IDA,,J:134223 
MGI:1100089,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11",14,,TNFSF11-mediated signaling pathway,,,IDA,,J:145836 
MGI:1100089,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11",14,,TNFSF11-mediated signaling pathway,,,IDA,,J:196719 
MGI:1100089,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11",14,,TNFSF11-mediated signaling pathway,,,ISO,O14788 ,J:164563 
MGI:1100089,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11",14,,tumor necrosis factor-mediated signaling pathway,,,IGI,O35305 ,J:155398 
MGI:1344376,Tnfsf13b,"tumor necrosis factor (ligand) superfamily, member 13b",8,,tumor necrosis factor-mediated signaling pathway,,,IGI,MGI:2143599 ,J:138560 
MGI:2673064,Tnfsf18,"tumor necrosis factor (ligand) superfamily, member 18",1,,tumor necrosis factor-mediated signaling pathway,,,IBA,PTN000392087 ,J:265628 
MGI:2673064,Tnfsf18,"tumor necrosis factor (ligand) superfamily, member 18",1,,tumor necrosis factor-mediated signaling pathway,,,IMP,,J:180483 
MGI:109200,Tradd,TNFRSF1A-associated via death domain,8,,tumor necrosis factor-mediated signaling pathway,,,ISO,Q15628 ,J:164563 
MGI:101836,Traf1,TNF receptor-associated factor 1,2,,tumor necrosis factor-mediated signaling pathway,,,IBA,PTN000014920 ,J:265628 
MGI:101835,Traf2,TNF receptor-associated factor 2,2,,positive regulation of tumor necrosis factor-mediated signaling pathway,,,IDA,,J:218005 
MGI:101835,Traf2,TNF receptor-associated factor 2,2,,tumor necrosis factor-mediated signaling pathway,,,IBA,PTN000014920 ,J:265628 
MGI:101835,Traf2,TNF receptor-associated factor 2,2,,tumor necrosis factor-mediated signaling pathway,,,ISO,RGD:1310457 ,J:155856 
MGI:101835,Traf2,TNF receptor-associated factor 2,2,,tumor necrosis factor-mediated signaling pathway,,,ISO,Q12933 ,J:164563 
MGI:108041,Traf3,TNF receptor-associated factor 3,12,,tumor necrosis factor-mediated signaling pathway,,,IBA,PTN000014920 ,J:265628 
MGI:108041,Traf3,TNF receptor-associated factor 3,12,,tumor necrosis factor-mediated signaling pathway,,,IMP,,J:124635 
MGI:108041,Traf3,TNF receptor-associated factor 3,12,,tumor necrosis factor-mediated signaling pathway,,,ISO,Q13114 ,J:164563 
MGI:2143599,Traf3ip2,TRAF3 interacting protein 2,10,,tumor necrosis factor-mediated signaling pathway,,,IGI,MGI:1344376 ,J:138560 
MGI:107548,Traf5,TNF receptor-associated factor 5,1,,tumor necrosis factor-mediated signaling pathway,,,IBA,PTN000014920 ,J:265628 
MGI:108072,Traf6,TNF receptor-associated factor 6,2,,tumor necrosis factor-mediated signaling pathway,,,IBA,PTN000014920 ,J:265628 
MGI:1096377,Traip,TRAF-interacting protein,9,,negative regulation of tumor necrosis factor-mediated signaling pathway,,,ISO,Q9BWF2 ,J:164563 
MGI:1917057,Trim32,tripartite motif-containing 32,4,,positive regulation of tumor necrosis factor-mediated signaling pathway,happens in keratinocyte,,IMP,,J:159937 
MGI:98834,Trp53,transformation related protein 53,11,,tumor necrosis factor-mediated signaling pathway,,,ISO,P04637 ,J:164563 
MGI:1289248,Txndc17,thioredoxin domain containing 17,11,,tumor necrosis factor-mediated signaling pathway,,,ISO,Q9BRA2 ,J:164563 
MGI:1858216,Ube2k,ubiquitin-conjugating enzyme E2K,5,,positive regulation of tumor necrosis factor-mediated signaling pathway,,,ISO,P61086 ,J:164563 
MGI:102674,Umod,uromodulin,7,,tumor necrosis factor-mediated signaling pathway,,,IMP,,J:252597 
